date,open,close,high,low,amount
2026-01-15,86.69,86.69,86.69,86.69,120369.0
2026-01-16,91.99,86.04,91.99,83.85,990715.0
2026-01-19,85.01,84.5,86.36,82.95,472558.0
2026-01-20,83.87,82.05,85.3,81.4,400153.0
2026-01-21,81.11,86.36,88.0,81.11,617493.0
2026-01-22,87.6,85.02,87.99,84.74,406348.0
2026-01-23,85.01,87.92,88.23,84.68,520239.0
2026-01-26,87.93,84.29,87.95,84.03,407318.0
2026-01-27,83.83,85.8,86.4,82.12,381499.0
2026-01-28,86.11,87.91,89.11,86.11,495276.0
2026-01-29,87.28,84.26,87.86,84.08,364456.0
2026-01-30,83.39,84.11,85.38,81.79,311682.0
2026-02-02,83.08,79.78,83.85,79.76,333076.0
